activity_short,activity,area,percentage,minutes,share
Care work,Unpaid caregiving services for household members,rural,1.9583333333333328,1.7142857142857142,3.3571428571428568
Care work,Unpaid caregiving services for household members,urban,1.9924242424242424,1.84,3.6660606060606065
Domestic work,Unpaid domestic services for household members,rural,2.9638989169675094,3.0714285714285716,9.103403816400208
Domestic work,Unpaid domestic services for household members,urban,3.504424778761062,3.117021276595745,10.923366597627567
