"Geography","Year","Question Code","Question Text","Response Category","Response Variable","Gender","Value"
"India",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",3.40
"India",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",2.93
"Malaysia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",2.60
"Malaysia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",3.56
"Malaysia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.20
"Australia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",4.70
"Australia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",4.98
"Australia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",4.78
"Philippines",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",2.64
"Philippines",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",3.95
"Philippines",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.38
"Taiwan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",3.49
"Taiwan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",4.22
"Taiwan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.87
"Japan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",4.02
"Japan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",6.28
"Japan",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",4.46
"Thailand",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",4.09
"Thailand",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",5.17
"Thailand",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",4.49
"Cambodia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",3.95
"Cambodia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",5.68
"Cambodia",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",5.09
"Myanmar",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",2.94
"Myanmar",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",3.39
"Myanmar",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",3.27
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",16.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",12.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",14.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",22.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",12.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",19.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",16.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",11.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",14.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",28.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",16.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",23.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",35.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",28.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",31.00
"New Zealand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",39.00
"New Zealand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",25.00
"New Zealand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",32.00
"Philippines",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",16.00
"Philippines",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",19.00
"Philippines",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",17.00
"Taiwan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",36.00
"Taiwan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",23.00
"Taiwan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",29.00
"Japan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",26.00
"Japan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",24.00
"Japan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",25.00
"South Korea",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",22.00
"South Korea",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",18.00
"South Korea",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",20.00
"Thailand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",32.00
"Thailand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",25.00
"Thailand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",28.00
"Vietnam",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",29.00
"Vietnam",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",24.00
"Vietnam",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",26.00
"Myanmar",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","male",23.00
"Myanmar",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","female",12.00
"Myanmar",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 1 and 2 hours","sog_w2_hrs_dmstc_12","combined",18.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",16.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",18.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",17.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",12.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",9.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",11.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",20.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",10.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",15.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",16.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",13.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",15.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",23.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",16.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",20.00
"New Zealand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",18.00
"New Zealand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",21.00
"New Zealand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",19.00
"Philippines",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",21.00
"Philippines",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",9.00
"Philippines",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",15.00
"Taiwan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",12.00
"Taiwan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",17.00
"Taiwan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",15.00
"Japan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",20.00
"Japan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",19.00
"Japan",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",20.00
"South Korea",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",15.00
"South Korea",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",12.00
"South Korea",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",14.00
"Thailand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",15.00
"Thailand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",16.00
"Thailand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",16.00
"Vietnam",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",19.00
"Vietnam",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",16.00
"Vietnam",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",17.00
"Myanmar",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","male",12.00
"Myanmar",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","female",18.00
"Myanmar",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 2 and 3 hours","sog_w2_hrs_dmstc_23","combined",14.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","male",11.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","female",11.00
"Indonesia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","combined",11.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","male",12.00
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","female",7.00
